# Muon transport coefficients from PROPOSAL in StandardRock (rho = 2.65 g/cm^3), per km of water-equivalent column at rho = 1.02 g/cm^3.
# Bremsstrahlung + e+e- pair production (Kelner-Kokoulin-Petrukhin, with LPM suppression) + photonuclear (ALLM97, Butkevich-Mikheyev shadowing); no ionization.
# b_mu = <y>, d_mu = <y^2>, t_mu = <y^3> per unit length.
# The last three are the log-loss moments the first-passage range needs, Phi^(n)(0) = <(-ln(1-y))^n>, which no family calibrated to the y-moments reproduces: a two-moment fit is 8% low on the first and 56% low on the second.
# E [GeV], b_mu [km^-1], d_mu [km^-1], t_mu [km^-1], phi1 [km^-1], phi2 [km^-1], phi3 [km^-1]
7.498942093324557878e+06,4.961181885609076692e-01,1.185785090929062091e-01,7.238720266203364784e-02,6.367602021908685961e-01,5.039404205740828369e-01,1.267460158630511424e+00
1.000000000000000000e+07,4.984983586218829643e-01,1.195384850343163413e-01,7.296766765834501733e-02,6.402217644642108629e-01,5.077155639115383812e-01,1.276619077849882933e+00
1.333521432163324021e+07,5.009532959809569475e-01,1.205324874916641337e-01,7.356893350618820548e-02,6.437920427749965757e-01,5.115885527352049822e-01,1.285811652550607365e+00
1.778279410038922727e+07,5.034870879667010524e-01,1.215626312246624735e-01,7.419245074787633731e-02,6.474785847786084236e-01,5.155740736349320175e-01,1.295085662943906701e+00
2.371373705661655217e+07,5.061040473297044873e-01,1.226309054126081960e-01,7.483967982348171954e-02,6.512889643136243745e-01,5.196866153388618459e-01,1.304496662880339386e+00
3.162277660168379173e+07,5.088085377492060912e-01,1.237394904654813277e-01,7.551210027560270599e-02,6.552309056660459152e-01,5.239406960791780365e-01,1.314099933630864081e+00
4.216965034285822511e+07,5.116053270025803235e-01,1.248905879027685240e-01,7.621121996905787233e-02,6.593122331998952923e-01,5.283499841668615193e-01,1.323945284255812371e+00
5.623413251903490722e+07,5.144990983773971571e-01,1.260864523897798350e-01,7.693855135382923760e-02,6.635408408111912459e-01,5.329274184465093711e-01,1.334078057126370398e+00
7.498942093324558437e+07,5.174947888312253497e-01,1.273295191615370081e-01,7.769570648066871643e-02,6.679250715536738658e-01,5.376864265089910111e-01,1.344543816794457447e+00
1.000000000000000000e+08,5.205990194383723901e-01,1.286223487654441222e-01,7.848436929464859546e-02,6.724736441051829550e-01,5.426406891347239636e-01,1.355387486901442617e+00
