# Muon transport coefficients from PROPOSAL in Water (rho = 1.0 g/cm^3), per km of water-equivalent column at rho = 1.02 g/cm^3.
# Bremsstrahlung + e+e- pair production (Kelner-Kokoulin-Petrukhin, with LPM suppression) + photonuclear (ALLM97, Butkevich-Mikheyev shadowing); no ionization.
# b_mu = <y>, d_mu = <y^2>, t_mu = <y^3> per unit length.
# The last three are the log-loss moments the first-passage range needs, Phi^(n)(0) = <(-ln(1-y))^n>, which no family calibrated to the y-moments reproduces: a two-moment fit is 8% low on the first and 56% low on the second.
# E [GeV], b_mu [km^-1], d_mu [km^-1], t_mu [km^-1], phi1 [km^-1], phi2 [km^-1], phi3 [km^-1]
7.498942093324557812e+13,1.068713887803677487e+00,4.079772407702181303e-01,2.560411629251316268e-01,1.546582880237579172e+00,1.693067459837303446e+00,3.961075148549200620e+00
1.000000000000000000e+14,1.105660850973253062e+00,4.261492641297673911e-01,2.678785344338472929e-01,1.605689234159698220e+00,1.772440368559250912e+00,4.150795555028778949e+00
1.333521432163324062e+14,1.144625903468261541e+00,4.453377089576624481e-01,2.804068991829279933e-01,1.668134988919097061e+00,1.856680315385467184e+00,4.352847181537080168e+00
1.778279410038922812e+14,1.185762257231263161e+00,4.655961326525594468e-01,2.936579769445817889e-01,1.734145438978685894e+00,1.946062874687579436e+00,4.568008364390080622e+00
2.371373705661655312e+14,1.229243565003162564e+00,4.869873351400367811e-01,3.076657038376136577e-01,1.803971912171091763e+00,2.040877104853103141e+00,4.797086353547006077e+00
3.162277660168379375e+14,1.275271528718755043e+00,5.095828074560299070e-01,3.224693930978812517e-01,1.877901955837324222e+00,2.141434800140368022e+00,5.040920528405487211e+00
4.216965034285822500e+14,1.324075652239152356e+00,5.334713912617887743e-01,3.381159190248612667e-01,1.956259338655203184e+00,2.248078126076020755e+00,5.300392079790479549e+00
5.623413251903490625e+14,1.375911827424189937e+00,5.587599352940677555e-01,3.546620328320391202e-01,2.039410327860194272e+00,2.361188067972097571e+00,5.576428982812144497e+00
7.498942093324558750e+14,1.431054461809857292e+00,5.855672256424657718e-01,3.721759099818232053e-01,2.127761663133338477e+00,2.481193950818575189e+00,5.870026468778047679e+00
1.000000000000000000e+15,1.489810986171907103e+00,6.140331117012617357e-01,3.907389830392837826e-01,2.221765534446066948e+00,2.608586412438274493e+00,6.182274386461867444e+00
1.333521432163324000e+15,1.552512046818919078e+00,6.443200306670773259e-01,4.104452882464090790e-01,2.321916165356619821e+00,2.743920343934775019e+00,6.514372643733831403e+00
1.778279410038922750e+15,1.619494834324003429e+00,6.765928479573974919e-01,4.314024795723819250e-01,2.428750218795832527e+00,2.887826529863195546e+00,6.867665271603100585e+00
2.371373705661655500e+15,1.691130607012271359e+00,7.110441401309673948e-01,4.537303886165373057e-01,2.542845586242595601e+00,3.041014200966000391e+00,7.243665641327758031e+00
3.162277660168379500e+15,1.767776322950444401e+00,7.478712008669657907e-01,4.775604184420595422e-01,2.664818664098422385e+00,3.204273946397675044e+00,7.644077035927865360e+00
4.216965034285822500e+15,1.849852365115326691e+00,7.872828955765849290e-01,5.030331860458088222e-01,2.795321323857557161e+00,3.378473460850776711e+00,8.070804556744331393e+00
5.623413251903491000e+15,1.937785054505296145e+00,8.295072927122381090e-01,5.302993286267305706e-01,2.935045059764561870e+00,3.564566575922906377e+00,8.525988502148214465e+00
7.498942093324558000e+15,2.032008135795167814e+00,8.747894074401049158e-01,5.595162181160985293e-01,3.084712434782101553e+00,3.763579262310970286e+00,9.011991239944606491e+00
1.000000000000000000e+16,2.132962074974647848e+00,9.233566881580930197e-01,5.908494059235743778e-01,3.245087590733819916e+00,3.976618429950008693e+00,9.531421827427491777e+00
